time_s,cte_m,segment,pose_x,pose_y
1776407025.256445,0.2500001614180077,TO_PICKUP,-1.2049999237060547,-0.8299996256828308
1776407025.478425,0.2500001614180077,TO_PICKUP,-1.2049999237060547,-0.8299996256828308
1776407025.5475745,0.2500001614180077,TO_PICKUP,-1.2049999237060547,-0.8299996256828308
1776407025.6168659,0.2500001614180077,TO_PICKUP,-1.2049999237060547,-0.8299996256828308
1776407025.6796827,0.2500001614180077,TO_PICKUP,-1.2049999237060547,-0.8299996256828308
1776407025.744673,0.2500001614180077,TO_PICKUP,-1.2049999237060547,-0.8299996256828308
1776407025.806414,0.2500001614180077,TO_PICKUP,-1.2049999237060547,-0.8299996256828308
1776407025.8714662,0.2500001614180077,TO_PICKUP,-1.2049999237060547,-0.8299996256828308
1776407025.9402494,0.2500001614180077,TO_PICKUP,-1.2049999237060547,-0.8299996256828308
1776407026.0058446,0.2500001614180077,TO_PICKUP,-1.2049999237060547,-0.8299996256828308
1776407026.0712805,0.2500001614180077,TO_PICKUP,-1.2049999237060547,-0.8299996256828308
1776407026.1372736,0.2500001614180077,TO_PICKUP,-1.2049999237060547,-0.8299996256828308
1776407026.218313,0.2500001614180077,TO_PICKUP,-1.2049999237060547,-0.8299996256828308
1776407026.2847936,0.2500001614180077,TO_PICKUP,-1.2049999237060547,-0.8299996256828308
1776407026.3448358,0.2500001614180077,TO_PICKUP,-1.2049999237060547,-0.8299996256828308
1776407026.4032798,0.2500001614180077,TO_PICKUP,-1.2049999237060547,-0.8299996256828308
1776407026.4698682,0.2500001614180077,TO_PICKUP,-1.2049999237060547,-0.8299996256828308
1776407026.5892813,0.2500001614180077,TO_PICKUP,-1.2049999237060547,-0.8299996256828308
1776407026.6695528,0.2500001967355539,TO_PICKUP,-1.2015351057052612,-0.8329555988311768
1776407026.7384036,0.2500010807093141,TO_PICKUP,-1.1944596767425537,-0.8387185335159302
1776407026.804773,0.25000168319300026,TO_PICKUP,-1.1842963695526123,-0.8464701175689697
1776407026.8715897,0.2500005732093364,TO_PICKUP,-1.1715819835662842,-0.8554083108901978
1776407026.9348733,0.25000089437968853,TO_PICKUP,-1.1567680835723877,-0.8648781180381775
1776407027.0021799,0.2500168245237539,TO_PICKUP,-1.140116572380066,-0.8744298219680786
1776407027.0736556,0.25008020840930456,TO_PICKUP,-1.12179434299469,-0.8837239742279053
1776407027.131718,0.2502459862019383,TO_PICKUP,-1.102009892463684,-0.8924498558044434
1776407027.2050252,0.25059207124436056,TO_PICKUP,-1.0811078548431396,-0.9003069400787354
1776407027.2689507,0.2512268930874264,TO_PICKUP,-1.0591111183166504,-0.907158613204956
1776407027.3391232,0.2505704686605065,TO_PICKUP,-1.036287546157837,-0.9128208160400391
1776407027.40854,0.24754237275571175,TO_PICKUP,-1.0127652883529663,-0.9171830415725708
1776407027.4716575,0.24476719576777117,TO_PICKUP,-0.98870849609375,-0.92015141248703
1776407027.5408745,0.2422265196875303,TO_PICKUP,-0.9638893008232117,-0.9218533635139465
1776407027.6072612,0.23983338946714763,TO_PICKUP,-0.9379802346229553,-0.9227617979049683
1776407027.668614,0.237495385786551,TO_PICKUP,-0.9114739298820496,-0.9235683083534241
1776407027.7351882,0.23511436742520794,TO_PICKUP,-0.8849742412567139,-0.9248161911964417
1776407027.8082273,0.23255740829060967,TO_PICKUP,-0.8587677478790283,-0.9269350171089172
1776407027.8748584,0.22970954006790925,TO_PICKUP,-0.8329850435256958,-0.9302001595497131
1776407027.9344764,0.22649657998716527,TO_PICKUP,-0.8076106905937195,-0.9347485303878784
1776407028.0082073,0.22289032986383822,TO_PICKUP,-0.7826699018478394,-0.9406552910804749
1776407028.0737827,0.21681027534438935,TO_PICKUP,-0.7582360506057739,-0.9479665160179138
1776407028.135896,0.2863064958779656,TO_PICKUP,-0.734352707862854,-0.9567026495933533
1776407028.208281,0.2826297489585284,TO_PICKUP,-0.7110874056816101,-0.9668603539466858
