time_s,target_steer_rad,lane_steer_rad,steer_raw_rad,steer_out_rad
1776407025.256445,0.10665592174434307,-0.048,0.38754968271503243,0.2968874206787581
1776407025.478425,0.10665592174434307,-0.031762814308575776,0.3892249678771788,0.5
1776407025.5475745,0.10665592174434307,-0.013896030666839665,0.3880247137620295,0.5
1776407025.6168659,0.10665592174434307,0.0017444723693021882,0.3879634739970531,0.5
1776407025.6796827,0.10665592174434307,0.016989641611845532,0.38754968271503243,0.5
1776407025.744673,0.10665592174434307,0.030663876523487302,0.38754968271503243,0.5
1776407025.806414,0.10665592174434307,0.04180934656860919,0.38820271978637094,0.5
1776407025.8714662,0.10665592174434307,0.05262733079072543,0.38820270037229476,0.5
1776407025.9402494,0.10665592174434307,0.0604241889937368,0.3892249678771788,0.5
1776407026.0058446,0.10665592174434307,0.0683899465652987,0.3892249678771788,0.5
1776407026.0712805,0.10665592174434307,0.07829704605870218,0.3880247137620295,0.5
1776407026.1372736,0.10665592174434307,0.08656445878019839,0.3879634739970531,0.5
1776407026.218313,0.10665592174434307,0.09494503092386755,0.38754968271503243,0.5
1776407026.2847936,0.10665592174434307,0.1016382511636592,0.3878983403802831,0.5
1776407026.3448358,0.10665592174434307,0.10739955477672368,0.38820270037229476,0.5
1776407026.4032798,0.10665592174434307,0.11297030642549206,0.38820270037229476,0.5
1776407026.4698682,0.10665592174434307,0.1159135993785319,0.3892249678771788,0.5
1776407026.5892813,0.10665592174434307,0.12168561532062483,0.3879634739970531,0.5
1776407026.6695528,0.09333318973464211,0.12725910021400894,0.3768914971072716,0.5
1776407026.7384036,0.0654074772576996,0.12936444081232382,0.3558542456265624,0.5
1776407026.804773,0.023900855949303107,0.12946130871526873,0.3239824715384358,0.5
1776407026.8715897,-0.02991349230005439,0.13062202164605613,0.2809309929389498,0.5
1776407026.9348733,-0.0945808184564558,0.12417459225370889,0.23265069007904005,0.5
1776407027.0021799,-0.1687415202688482,0.11670428446643788,0.17541515921930334,0.5
1776407027.0736556,-0.25062676309187115,0.10323747854181745,0.11387551539735102,0.5
1776407027.131718,-0.33743832167417037,0.09380924576400808,0.04442626853151166,0.5
1776407027.2050252,-0.4252032210580455,0.0765141406455398,-0.021602391643893104,0.5
1776407027.2689507,-0.5,0.08549883475492386,-0.09152117575364982,0.5
1776407027.3391232,-0.5,0.06385459801787877,-0.38125099606987617,0.27968725098253094
1776407027.40854,-0.5,0.03366899389510708,-0.5,-0.11523456176310182
1776407027.4716575,-0.5,-0.0007583113220538951,-0.5,-0.41142592132232636
1776407027.5408745,-0.5,-0.034033712786555675,-0.5,-0.5
