time_s,speed_cmd_mps,dr_speed_mps,throttle
1776407025.256445,0.0,0.022133882446111388,0.0
1776407025.478425,0.0,0.022133882446111388,0.0
1776407025.5475745,0.0,0.022133882446111388,0.0
1776407025.6168659,0.0,0.022133882446111388,0.0
1776407025.6796827,0.0,0.022133882446111388,0.0
1776407025.744673,0.0,0.022133882446111388,0.0
1776407025.806414,0.0,0.022133882446111388,0.0
1776407025.8714662,0.0,0.022133882446111388,0.0
1776407025.9402494,0.0,0.022133882446111388,0.0
1776407026.0058446,0.0,0.022133882446111388,0.0
1776407026.0712805,0.0,0.022133882446111388,0.0
1776407026.1372736,0.0,0.022133882446111388,0.0
1776407026.218313,0.0,0.022133882446111388,0.0
1776407026.2847936,0.0,0.022133882446111388,0.0
1776407026.3448358,0.0,0.022133882446111388,0.0
1776407026.4032798,0.0,0.022133882446111388,0.0
1776407026.4698682,0.08,0.022133882446111388,0.06760000000000001
1776407026.5892813,0.08,0.022133882446111388,0.06760000000000001
1776407026.6695528,0.08,0.022133882446111388,0.06760000000000001
1776407026.7384036,0.08,0.022133882446111388,0.06760000000000001
1776407026.804773,0.08,0.022133882446111388,0.06760000000000001
1776407026.8715897,0.08,0.022133882446111388,0.06760000000000001
1776407026.9348733,0.08,0.022133882446111388,0.06760000000000001
1776407027.0021799,0.08,0.022133882446111388,0.06760000000000001
1776407027.0736556,0.08,0.022133882446111388,0.06760000000000001
1776407027.131718,0.08,0.022133882446111388,0.06760000000000001
1776407027.2050252,0.08,0.022133882446111388,0.06760000000000001
1776407027.2689507,0.08,0.022133882446111388,0.06760000000000001
1776407027.3391232,0.08,0.022133882446111388,0.06760000000000001
1776407027.40854,0.08,0.022133882446111388,0.06760000000000001
1776407027.4716575,0.08,0.022133882446111388,0.06760000000000001
1776407027.5408745,0.08,0.022133882446111388,0.06760000000000001
1776407027.6072612,0.08,0.022133882446111388,0.06760000000000001
1776407027.668614,0.08,0.022133882446111388,0.06760000000000001
1776407027.7351882,0.08,0.022133882446111388,0.06760000000000001
