t_sec,x,y,z,roll_deg,pitch_deg,yaw_deg
0.01047350000590086,-12.050000190734863,-8.300000190734863,-0.0025569533463567495,0.0,-0.0,-41.121355388642286
21.942888099933043,-12.027615547180176,-8.319523811340332,-0.0025569533463567495,0.0,-0.0,-41.0788272157752
22.009567900095135,-11.999774932861328,-8.343758583068848,-0.0025569533463567495,0.0,-0.0,-41.02595813650471
22.076275300001726,-11.963790893554688,-8.37501049041748,-0.0025569533463567495,0.0,-0.0,-40.95769381084502
22.142901600105688,-11.921417236328125,-8.411713600158691,-0.0025569533463567495,0.0,-0.0,-40.877394691867764
22.20954390009865,-11.87407112121582,-8.452596664428711,-0.0025569533463567495,0.0,-0.0,-40.78778944014637
22.276261900085956,-11.822733879089355,-8.49677562713623,-0.0025569533463567495,0.0,-0.0,-40.690766602986336
22.343201299896464,-11.768250465393066,-8.543496131896973,-0.0025569533463567495,0.0,-0.0,-40.58794835031556
22.409561299951747,-11.713672637939453,-8.590128898620605,-0.0025569533463567495,0.0,-0.0,-40.48511643726643
22.476311299949884,-11.670315742492676,-8.626975059509277,-0.0025569533463567495,0.0,-0.0,-40.29476931038192
22.5429209000431,-11.6370849609375,-8.654921531677246,-0.0025569533463567495,0.0,-0.0,-39.97075538144028
22.609533600043505,-11.611774444580078,-8.67595100402832,-0.0025569533463567495,0.0,-0.0,-39.632469772227886
22.67645570007153,-11.592666625976562,-8.691650390625,-0.0025569533463567495,0.0,-0.0,-39.331514561924195
22.809663800057024,-11.567232131958008,-8.712301254272461,-0.0025569533463567495,0.0,-0.0,-38.939991043226144
23.00961500010453,-11.548928260803223,-8.727035522460938,-0.0025569533463567495,0.0,-0.0,-38.74364701025037
23.142974100075662,-11.522066116333008,-8.748360633850098,-0.0025569533463567495,0.0,-0.0,-38.28428605271575
23.20963010005653,-11.493128776550293,-8.770880699157715,-0.0025569533463567495,0.0,-0.0,-37.75766822242401
23.276407799916342,-11.45649242401123,-8.798735618591309,-0.0025569533463567495,0.0,-0.0,-37.07477224882779
23.342929400037974,-11.416387557983398,-8.828425407409668,-0.0025569533463567495,0.0,-0.0,-36.327433440412506
23.40954859997146,-11.383255004882812,-8.852470397949219,-0.0025569533463567495,0.0,-0.0,-35.8631718221484
23.47627090010792,-11.357104301452637,-8.871237754821777,-0.0025569533463567495,0.0,-0.0,-35.60637036973426
23.54299039999023,-11.327906608581543,-8.892026901245117,-0.0025569533463567495,0.0,-0.0,-35.40334641175022
23.609597499947995,-11.289766311645508,-8.918983459472656,-0.0025569533463567495,0.0,-0.0,-35.20547241640036
23.676312499912456,-11.244458198547363,-8.950787544250488,-0.0025569533463567495,0.0,-0.0,-35.02414796940945
23.74293539999053,-11.19351863861084,-8.986321449279785,-0.0025569533463567495,0.0,-0.0,-34.85999120289736
23.80959159997292,-11.138203620910645,-9.024689674377441,-0.0025569533463567495,0.0,-0.0,-34.70971679587333
23.876268399879336,-11.079380989074707,-9.065275192260742,-0.0025569533463567495,0.0,-0.0,-34.569837936766056
23.943005200009793,-11.017792701721191,-9.107555389404297,-0.0025569533463567495,0.0,-0.0,-34.43710687062519
24.009570499882102,-10.954057693481445,-9.151080131530762,-0.0025569533463567495,0.0,-0.0,-34.28656608622352
24.07637899997644,-10.888973236083984,-9.19494915008545,-0.0025569533463567495,0.0,-0.0,-33.85296177204903
24.142924400046468,-10.822832107543945,-9.23851203918457,-0.0025569533463567495,0.0,-0.0,-33.216828688605304
24.209700499894097,-10.754714965820312,-9.282470703125,-0.0025569533463567495,0.0,-0.0,-32.72268499272239
24.276346300030127,-10.685114860534668,-9.32670783996582,-0.0025569533463567495,0.0,-0.0,-32.353786475650004
24.342978700064123,-10.614532470703125,-9.371014595031738,-0.0025569533463567495,0.0,-0.0,-32.0335428111302
24.409726500045508,-10.543824195861816,-9.414555549621582,-0.0025569533463567495,0.0,-0.0,-31.46184231722179
24.476368699921295,-10.473196029663086,-9.456777572631836,-0.0025569533463567495,0.0,-0.0,-30.665698392092175
24.542947999900207,-10.400960922241211,-9.498770713806152,-0.0025569533463567495,0.0,-0.0,-30.024237761095847
24.609719899948686,-10.327466011047363,-9.540627479553223,-0.0025569533463567495,0.0,-0.0,-29.554276349969363
24.676302900072187,-10.253267288208008,-9.58220386505127,-0.0025569533463567495,0.0,-0.0,-29.160147114102944
24.74301359988749,-10.179373741149902,-9.62265682220459,-0.0025569533463567495,0.0,-0.0,-28.520983134215033
24.80975849996321,-10.10598087310791,-9.66149616241455,-0.0025569533463567495,0.0,-0.0,-27.66048516672556
24.8764380000066,-10.032679557800293,-9.698728561401367,-0.0025569533463567495,0.0,-0.0,-26.682955322902504
24.94296190002933,-9.957379341125488,-9.735600471496582,-0.0025569533463567495,0.0,-0.0,-25.91383162612946
25.00965470005758,-9.880592346191406,-9.772200584411621,-0.0025569533463567495,0.0,-0.0,-25.357065340841288
25.0763570999261,-9.803506851196289,-9.80805778503418,-0.0025569533463567495,0.0,-0.0,-24.78690505459072
25.143073099898174,-9.727137565612793,-9.842363357543945,-0.0025569533463567495,0.0,-0.0,-23.972857496099213
25.209650400094688,-9.651300430297852,-9.874950408935547,-0.0025569533463567495,0.0,-0.0,-23.00105305834792
25.27638059994206,-9.573643684387207,-9.90695571899414,-0.0025569533463567495,0.0,-0.0,-22.22118376646316
25.342991299927235,-9.494556427001953,-9.938567161560059,-0.0025569533463567495,0.0,-0.0,-21.657447273126987
25.409662399906665,-9.414702415466309,-9.96976089477539,-0.0025569533463567495,0.0,-0.0,-21.241029422451525
25.476324599934742,-9.334402084350586,-10.000584602355957,-0.0025569533463567495,0.0,-0.0,-20.92573593753269
25.543019599979743,-9.253827095031738,-10.031086921691895,-0.0025569533463567495,0.0,-0.0,-20.675278023310202
25.609767799964175,-9.173064231872559,-10.061310768127441,-0.0025569533463567495,0.0,-0.0,-20.467800781987307
25.67647540010512,-9.09244155883789,-10.091022491455078,-0.0025569533463567495,0.0,-0.0,-20.11915719089859
25.743001099908724,-9.01267147064209,-10.119478225708008,-0.0025569533463567495,0.0,-0.0,-19.446716529374374
25.80962450010702,-8.933752059936523,-10.14633846282959,-0.0025569533463567495,0.0,-0.0,-18.56343988100291
25.876283899880946,-8.854506492614746,-10.171893119812012,-0.0025569533463567495,0.0,-0.0,-17.669335675249684
25.943025900050998,-8.773415565490723,-10.196956634521484,-0.0025569533463567495,0.0,-0.0,-17.02903276131767
26.00963620003313,-8.691397666931152,-10.221518516540527,-0.0025569533463567495,0.0,-0.0,-16.563230935395723
26.076359200058505,-8.60919189453125,-10.24544906616211,-0.0025569533463567495,0.0,-0.0,-16.10016630778366
26.143012899905443,-8.527929306030273,-10.268081665039062,-0.0025569533463567495,0.0,-0.0,-15.364254405849808
26.209648499963805,-8.446270942687988,-10.2896728515625,-0.0025569533463567495,0.0,-0.0,-14.646840363735642
26.276305000064895,-8.363463401794434,-10.310701370239258,-0.0025569533463567495,0.0,-0.0,-14.131023623842632
26.342938099987805,-8.28007698059082,-10.331238746643066,-0.0025569533463567495,0.0,-0.0,-13.746875855674544
26.409612599993125,-8.196365356445312,-10.351366996765137,-0.0025569533463567495,0.0,-0.0,-13.450697508921635
26.476268300088122,-8.112456321716309,-10.371156692504883,-0.0025569533463567495,0.0,-0.0,-13.213724949441687
26.543016500072554,-8.028417587280273,-10.390657424926758,-0.0025569533463567495,0.0,-0.0,-13.015603359734422
26.60960209998302,-7.944284439086914,-10.409902572631836,-0.0025569533463567495,0.0,-0.0,-12.84275176240891
26.676309899892658,-7.860079288482666,-10.428916931152344,-0.0025569533463567495,0.0,-0.0,-12.68682281252575
26.74294689996168,-7.775813579559326,-10.447718620300293,-0.0025569533463567495,0.0,-0.0,-12.541970721929056
26.80967040010728,-7.691495418548584,-10.466315269470215,-0.0025569533463567495,0.0,-0.0,-12.404315943170268
26.876277999952435,-7.6071295738220215,-10.484716415405273,-0.0025569533463567495,0.0,-0.0,-12.271479862870919
26.942975099897012,-7.522790431976318,-10.502863883972168,-0.0025569533463567495,0.0,-0.0,-12.080561561417076
27.00972420000471,-7.439210414886475,-10.520177841186523,-0.0025569533463567495,0.0,-0.0,-11.549293226074207
27.076257599983364,-7.356629848480225,-10.5361909866333,-0.0025569533463567495,0.0,-0.0,-10.771814500398948
27.143008700106293,-7.273050785064697,-10.551361083984375,-0.0025569533463567495,0.0,-0.0,-10.143718842061038
27.209583699936047,-7.188653945922852,-10.565922737121582,-0.0025569533463567495,0.0,-0.0,-9.683861842037942
27.276507399976254,-7.103828430175781,-10.579995155334473,-0.0025569533463567495,0.0,-0.0,-9.338714454030626
27.342914799926803,-7.018767356872559,-10.593668937683105,-0.0025569533463567495,0.0,-0.0,-9.069283128067488
27.409612499875948,-6.933566093444824,-10.607013702392578,-0.0025569533463567495,0.0,-0.0,-8.849240899992711
27.476302299881354,-6.848272323608398,-10.620078086853027,-0.0025569533463567495,0.0,-0.0,-8.662330212034373
